
========== SHEET: 角色素材 (cols=9 rows=56) ==========
HEADER: 🎮 梦境逐影 v3 · 角色与怪物素材 |  |  |  |  |  |  |  | 
? :: 像素风 · 社畜梦境主题 · 尺寸已统一为130×250比例（Boss为2倍260×500） |  |  |  |  |  |  |  | 
? :: 编号 | 素材名称 | 英文名称 | 类型 | 尺寸(px) | 帧数 | 动画说明 | 所属分类 | 完成状态
BGM-002 :: BGM-002 | 第一层·午夜办公室 | Layer1 Midnight Office | BGM | 2min循环 | OGG | 日光灯嗡嗡声底，焦虑感电子乐 | 第一层 | □
BGM-003 :: BGM-003 | 第二层·无尽通勤路 | Layer2 Endless Commute | BGM | 2min循环 | OGG | 地铁/地铁门声采样+电子节拍 | 第二层 | □
BGM-004 :: BGM-004 | 第三层·深夜崩溃核心 | Layer3 Breakdown Core | BGM | 2min循环 | OGG | 重低音+失真，压抑到极致 | 第三层 | □
BGM-005 :: BGM-005 | 小Boss战·职场压力 | Mini Boss Workplace Pressure | BGM | 1.5min循环 | OGG | 紧迫电子+扭曲钢琴音 | Boss战 | □
BGM-006 :: BGM-006 | 最终Boss战·完全崩溃 | Final Boss Total Collapse | BGM | 3min循环 | OGG | 史诗感+失真噪音混合 | 最终Boss | □
BGM-007 :: BGM-007 | 驿站·便利店之夜 | Rest Stop Convenience Night | BGM | 1.5min循环 | OGG | 放松的便利店BGM感，安全 | 驿站 | □
BGM-008 :: BGM-008 | 通关·生日庆典 | Ending Birthday Celebration | BGM | 1min | OGG | 欢快生日感+主题变奏 | 生日彩蛋 | □
BGM-009 :: BGM-009 | 死亡·噩梦未散 | Death Nightmare Lingers | BGM | 30秒 | OGG | 短暂沉静，不过于沉重，有回响 | 死亡流程 | □
SFX-001 :: SFX-001 | 弥绘·跳跃 | Miai Jump SFX | 音效 | 0.2s | WAV | 轻快弹跳 | 玩家 | □
SFX-002 :: SFX-002 | 弥绘·受击 | Miai Hurt SFX | 音效 | 0.3s | WAV | 梦幻受伤声 | 玩家 | □
SFX-003 :: SFX-003 | 弥绘·死亡 | Miai Death SFX | 音效 | 1s | WAV | 星星消散+叹息 | 玩家 | □
SFX-010 :: SFX-010 | 暴击触发音效 | Crit Trigger SFX | 音效 | 0.3s | WAV | 橙色爆裂感，清脆冲击+短促余音 | 暴击系统 | □
SFX-011 :: SFX-011 | 暴击数字弹出声 | Crit Number Pop SFX | 音效 | 0.1s | WAV | 短促的「叮」，区别普通伤害 | 暴击系统 | □
SFX-020 :: SFX-020 | 法杖攻击·发射 | Staff Attack Fire SFX | 音效 | 0.2s | WAV | 魔法弹射出感 | 武器·法杖 | □
SFX-021 :: SFX-021 | 法杖攻击·命中 | Staff Attack Hit SFX | 音效 | 0.2s | WAV | 光弹爆炸 | 武器·法杖 | □
SFX-022 :: SFX-022 | 短剑·挥砍 | Sword Slash SFX | 音效 | 0.2s | WAV | 利器切割 | 武器·剑 | □
SFX-023 :: SFX-023 | 镰刀·挥砍 | Scythe Slash SFX | 音效 | 0.3s | WAV | 沉重挥砍 | 武器·镰刀 | □
SFX-024 :: SFX-024 | 终极技能·触发 | Ultimate Skill SFX | 音效 | 1.5s | WAV | 深沉吞噬感+回响 | 终极技能 | □
SFX-030 :: SFX-030 | 怪物受击·通用 | Monster Hit SFX | 音效 | 0.1s | WAV | 短促受击 | 怪物 | □
SFX-031 :: SFX-031 | 怪物死亡·消散 | Monster Death SFX | 音效 | 0.5s | WAV | 噩梦消散，星光声 | 怪物 | □
SFX-032 :: SFX-032 | Boss出场 | Boss Entrance SFX | 音效 | 1s | WAV | 低沉压迫感 | Boss | □
SFX-033 :: SFX-033 | 房间怪物刷新音 | Room Respawn SFX | 音效 | 0.5s | WAV | 幽灵再现感，低沉嗡嗡 | 刷新机制 | □
SFX-034 :: SFX-034 | 地图·打开/关闭 | Map Open Close SFX | 音效 | 0.2s | WAV | 翻页/展开感 | 地图UI | □
SFX-035 :: SFX-035 | 地图·点击传送 | Map Teleport Click SFX | 音效 | 0.8s | WAV | 旋转传送能量感 | 地图UI | □
SFX-036 :: SFX-036 | 等级提升 | Level Up SFX | 音效 | 1s | WAV | 欢快上升音调+星光声 | 系统 | □
SFX-037 :: SFX-037 | 武器更换 | Weapon Swap SFX | 音效 | 0.5s | WAV | 能量切换感 | 系统 | □
SFX-038 :: SFX-038 | 死亡CG·开始播放 | Death CG Start SFX | 音效 | 0.3s | WAV | 画面淡黑时的低沉过渡声 | 死亡流程 | □
SFX-039 :: SFX-039 | 按钮·再次潜入点击 | Retry Button Click SFX | 音效 | 0.4s | WAV | 比普通点击更有力 | 死亡流程 | □
SFX-040 :: SFX-040 | UI点击·通用 | UI Click SFX | 音效 | 0.1s | WAV | 清脆点击 | UI | □
SFX-041 :: SFX-041 | 词条获得 | Trait Acquired SFX | 音效 | 0.6s | WAV | 神秘感+惊喜感 | 词条系统 | □

========== SHEET: 总览进度 (cols=7 rows=34) ==========
HEADER: 📊 素材总览 · 优先级追踪（v3.0） |  |  |  |  |  | 
? :: 类别 | 英文类别 | 总数 | 优先级 | 是否新增/变更 | 关键说明 | 完成状态
? :: 主角弥绘动画（含真形/庆生） | Player Miai Animations | 10套 | ★★★★★ | 尺寸已更新为130×250 | 游戏启动首要完成 | □
? :: 武器姿态叠加层 | Weapon Pose Overlays | 3套 | ★★★★★ | 尺寸已更新为130×250 | 与主角动画绑定 | □
? :: 武器图标（全9种+升阶3种） | Weapon Icons (9+3 Upgraded) | 12个 | ★★★★★ | 原有 | 开始选武器时需要 | □
? :: 弹射物 | Projectiles | 6种 | ★★★★★ | 原有 | 与武器同步 | □
? :: 暴击专属特效（橙色爆光/数字） | Crit FX (Flash/Number) | 3种 | ★★★★★ | 原有 | 核心系统，早期实现 | □
? :: 第一层怪物·午夜办公室（含Boss） | Layer1 Monsters & Boss | 13套 | ★★★★★ | 尺寸已更新，Boss为260×500 | 第一层通关必需 | □
? :: 第二层怪物·无尽通勤路（含Boss） | Layer2 Monsters & Boss | 12套 | ★★★★☆ | 尺寸已更新，Boss为260×500 | 第二层解锁后 | □
? :: 第三层怪物·深夜崩溃核心（含Boss） | Layer3 Monsters & Boss | 11套 | ★★★☆☆ | 尺寸已更新，Boss为260×500 | 最终Boss最后制作 | □
? :: 网状地图节点图标（5种+状态变化） | Map Node Icons | 10种 | ★★★★★ | 原有 | 地图系统核心 | □
? :: 地图UI界面（传送弹窗/图例等） | Map UI (Popup/Legend) | 4件 | ★★★★★ | 原有 | 与地图节点配套 | □
? :: 房间怪物刷新特效 | Room Respawn FX | 1种 | ★★★★☆ | 原有 | 体现魂类机制 | □
? :: 刷新音效 | Respawn SFX | 1个 | ★★★★☆ | 原有 | 刷新时音效反馈 | □
? :: 死亡CG（自制，3张死亡+1生日） | Death CG (3+1) | 4张 | ★★★★☆ | 原有·自制项 | 内容自制，流程UI先做 | □
? :: 死亡流程UI（遮罩/提示/重来界面） | Death Flow UI | 9件 | ★★★★★ | 原有 | 死亡体验核心 | □
? :: 死亡/重来相关音效 | Death/Retry SFX | 3个 | ★★★★☆ | 原有 | 死亡氛围 | □
? :: 场景Tileset·第一层（社畜办公室） | Layer1 Tileset (Office) | 7套 | ★★★★★ | 尺寸未变（需保持网格对齐） | 首通必需 | □
? :: 场景Tileset·第二层（通勤路） | Layer2 Tileset (Commute) | 7套 | ★★★★☆ | 尺寸未变（需保持网格对齐） | 第二层才用 | □
? :: 场景Tileset·第三层（崩溃核心） | Layer3 Tileset (Breakdown) | 5套 | ★★★☆☆ | 尺寸未变（需保持网格对齐） | 最后制作 | □
? :: 驿站·便利店内景 | Rest Stop Interior | 3套 | ★★★★☆ | 原有 | 安全区素材 | □
? :: 通用道具（门/宝箱/传送阵） | Common Props | 6套 | ★★★★★ | 原有 | 基础玩法必需 | □
? :: 战斗HUD（含暴击率显示） | Combat HUD | 11件 | ★★★★★ | 原有 | 游戏开始就需要 | □
? :: 主菜单/按钮/通用UI | Main Menu & Common UI | 6件 | ★★★★☆ | 原有 | 可用占位临时代替 | □
? :: 武器选择界面 | Weapon Select UI | 3件 | ★★★★★ | 原有 | 开场选武器就需要 | □
? :: 词条系统UI | Trait System UI | 3件 | ★★★★☆ | 原有 | 核心系统配套 | □
? :: 暴击伤害橙色字体 | Crit Damage Font | 1套 | ★★★★★ | 原有 | 区分普通/暴击伤害 | □
? :: BGM（9首） | BGM (9 Tracks) | 9首 | ★★★★☆ | 原有 | 可先用免费素材占位 | □
? :: SFX音效（32个） | SFX (32 Sounds) | 32个 | ★★★★☆ | 原有 | 可用免费素材占位 | □
? :: 🆕 v3更新：角色/怪物/Boss尺寸统一为130×250（Boss/精英为260×500，正好2倍），全表新增「英文名称」列，方便AI绘图prompt与文件命名使用。Tileset与UI因技术限制（网格对齐/屏幕布局）尺寸保持不变。 |  |  |  |  |  | 
